date,open,max,min,close
04.01.2010,1133.20000,1141.30000,1107.03000,1111.75000
05.01.2010,1112.85000,1117.43000,1088.45000,1094.23000
06.01.2010,1093.95000,1098.46000,1082.15000,1092.76000
07.01.2010,1093.57000,1103.89000,1092.42000,1097.90000
08.01.2010,1102.18000,1103.29000,1085.52000,1097.68000
09.01.2010,1097.75000,1102.24000,1083.39000,1088.00000
10.01.2010,1087.55000,1095.96000,1074.01000,1085.86000
11.01.2010,1086.08000,1090.04000,1074.63000,1080.67000
12.01.2010,1080.61000,1107.47000,1076.52000,1106.46000
13.01.2010,1106.74000,1117.89000,1098.85000,1114.36000
14.01.2010,1114.64000,1124.80000,1107.09000,1110.58000
15.01.2010,1110.40000,1110.98000,1059.58000,1064.34000
16.01.2010,1064.20000,1068.61000,1044.46000,1065.95000
17.01.2010,1067.57000,1074.16000,1061.65000,1062.63000
18.01.2010,1062.47000,1082.99000,1061.56000,1077.91000
19.01.2010,1078.46000,1082.05000,1063.28000,1071.77000
20.01.2010,1072.57000,1097.64000,1072.39000,1095.08000
21.01.2010,1093.97000,1096.91000,1077.79000,1093.05000
22.01.2010,1093.14000,1102.13000,1091.45000,1100.58000
23.01.2010,1101.26000,1120.93000,1097.97000,1118.94000
24.01.2010,1118.76000,1126.83000,1105.02000,1106.55000
25.01.2010,1108.71000,1123.82000,1097.78000,1108.55000
26.01.2010,1106.55000,1126.55000,1099.34000,1118.99000
27.01.2010,1121.60000,1130.75000,1109.97000,1113.92000
28.01.2010,1112.93000,1120.93000,1099.08000,1103.00000
29.01.2010,1102.97000,1107.94000,1089.65000,1097.28000
30.01.2010,1096.08000,1108.94000,1088.10000,1106.05000
31.01.2010,1106.65000,1118.70000,1104.15000,1117.30000
01.02.2010,1118.39000,1123.28000,1112.05000,1118.50000
02.02.2010,1116.95000,1137.37000,1114.74000,1134.33000
03.02.2010,1133.79000,1144.62000,1132.13000,1139.58000
04.02.2010,1139.00000,1141.33000,1125.72000,1131.78000
05.02.2010,1132.17000,1140.32000,1127.35000,1134.55000
06.02.2010,1135.90000,1137.50000,1118.55000,1123.37000
07.02.2010,1123.44000,1124.68000,1108.45000,1121.53000
08.02.2010,1121.21000,1127.80000,1103.47000,1108.25000
09.02.2010,1108.77000,1111.62000,1100.45000,1109.35000
10.02.2010,1109.69000,1119.10000,1098.45000,1101.49000
