date,open,max,min,close,x,y
2010.01.22,1093.95000,1098.46000,1082.15000,1092.76000,3144,0
2010.01.25,1093.57000,1103.89000,1092.42000,1097.90000,1862,0
2010.01.26,1102.18000,1103.29000,1085.52000,1097.68000,3105,0
2010.01.27,1097.75000,1102.24000,1083.39000,1088.00000,2796,0
2010.01.28,1087.55000,1095.96000,1074.01000,1085.86000,4222,0
2010.01.29,1086.08000,1090.04000,1074.63000,1080.67000,2542,0
2010.02.01,1080.61000,1107.47000,1076.52000,1106.46000,3606,0
2010.02.02,1106.74000,1117.89000,1098.85000,1114.36000,3047,0
2010.02.03,1114.64000,1124.80000,1107.09000,1110.58000,3137,0
2010.02.04,1110.40000,1110.98000,1059.58000,1064.34000,5675,0
2010.02.05,1064.20000,1068.61000,1044.46000,1065.95000,4656,0
2010.02.08,1067.57000,1074.16000,1061.65000,1062.63000,2009,0
2010.02.09,1062.47000,1082.99000,1061.56000,1077.91000,2743,0
2010.02.10,1078.46000,1082.05000,1063.28000,1071.77000,3086,0
2010.02.11,1072.57000,1097.64000,1072.39000,1095.08000,2800,0
2010.02.12,1093.97000,1096.91000,1077.79000,1093.05000,3733,0
2010.02.15,1093.14000,1102.13000,1091.45000,1100.58000,1393,0
2010.02.16,1101.26000,1120.93000,1097.97000,1118.94000,2825,0
2010.02.17,1118.76000,1126.83000,1105.02000,1106.55000,3142,0
2010.02.18,1108.71000,1123.82000,1097.78000,1108.55000,5193,0
2010.02.19,1106.55000,1126.55000,1099.34000,1118.99000,4199,0
2010.02.22,1121.60000,1130.75000,1109.97000,1113.92000,3389,0
2010.02.23,1112.93000,1120.93000,1099.08000,1103.00000,3378,0
2010.02.24,1102.97000,1107.94000,1089.65000,1097.28000,3090,0
2010.02.25,1096.08000,1108.94000,1088.10000,1106.05000,3172,0
2010.02.26,1106.65000,1118.70000,1104.15000,1117.30000,1846,0
2010.03.01,1118.39000,1123.28000,1112.05000,1118.50000,2236,0
2010.03.02,1116.95000,1137.37000,1114.74000,1134.33000,2789,0
2010.03.03,1133.79000,1144.62000,1132.13000,1139.58000,1920,0
